"colIndex","Vnumber","featureName","newVariableName"
1,"V1","tBodyAcc-mean()-X","tBodyAccMeanX"
2,"V2","tBodyAcc-mean()-Y","tBodyAccMeanY"
3,"V3","tBodyAcc-mean()-Z","tBodyAccMeanZ"
4,"V4","tBodyAcc-std()-X","tBodyAccStdX"
5,"V5","tBodyAcc-std()-Y","tBodyAccStdY"
6,"V6","tBodyAcc-std()-Z","tBodyAccStdZ"
41,"V41","tGravityAcc-mean()-X","tGravityAccMeanX"
42,"V42","tGravityAcc-mean()-Y","tGravityAccMeanY"
43,"V43","tGravityAcc-mean()-Z","tGravityAccMeanZ"
44,"V44","tGravityAcc-std()-X","tGravityAccStdX"
45,"V45","tGravityAcc-std()-Y","tGravityAccStdY"
46,"V46","tGravityAcc-std()-Z","tGravityAccStdZ"
81,"V81","tBodyAccJerk-mean()-X","tBodyAccJerkMeanX"
82,"V82","tBodyAccJerk-mean()-Y","tBodyAccJerkMeanY"
83,"V83","tBodyAccJerk-mean()-Z","tBodyAccJerkMeanZ"
84,"V84","tBodyAccJerk-std()-X","tBodyAccJerkStdX"
85,"V85","tBodyAccJerk-std()-Y","tBodyAccJerkStdY"
86,"V86","tBodyAccJerk-std()-Z","tBodyAccJerkStdZ"
121,"V121","tBodyGyro-mean()-X","tBodyGyroMeanX"
122,"V122","tBodyGyro-mean()-Y","tBodyGyroMeanY"
123,"V123","tBodyGyro-mean()-Z","tBodyGyroMeanZ"
124,"V124","tBodyGyro-std()-X","tBodyGyroStdX"
125,"V125","tBodyGyro-std()-Y","tBodyGyroStdY"
126,"V126","tBodyGyro-std()-Z","tBodyGyroStdZ"
161,"V161","tBodyGyroJerk-mean()-X","tBodyGyroJerkMeanX"
162,"V162","tBodyGyroJerk-mean()-Y","tBodyGyroJerkMeanY"
163,"V163","tBodyGyroJerk-mean()-Z","tBodyGyroJerkMeanZ"
164,"V164","tBodyGyroJerk-std()-X","tBodyGyroJerkStdX"
165,"V165","tBodyGyroJerk-std()-Y","tBodyGyroJerkStdY"
166,"V166","tBodyGyroJerk-std()-Z","tBodyGyroJerkStdZ"
201,"V201","tBodyAccMag-mean()","tBodyAccMagMean"
202,"V202","tBodyAccMag-std()","tBodyAccMagStd"
214,"V214","tGravityAccMag-mean()","tGravityAccMagMean"
215,"V215","tGravityAccMag-std()","tGravityAccMagStd"
227,"V227","tBodyAccJerkMag-mean()","tBodyAccJerkMagMean"
228,"V228","tBodyAccJerkMag-std()","tBodyAccJerkMagStd"
240,"V240","tBodyGyroMag-mean()","tBodyGyroMagMean"
241,"V241","tBodyGyroMag-std()","tBodyGyroMagStd"
253,"V253","tBodyGyroJerkMag-mean()","tBodyGyroJerkMagMean"
254,"V254","tBodyGyroJerkMag-std()","tBodyGyroJerkMagStd"
266,"V266","fBodyAcc-mean()-X","fBodyAccMeanX"
267,"V267","fBodyAcc-mean()-Y","fBodyAccMeanY"
268,"V268","fBodyAcc-mean()-Z","fBodyAccMeanZ"
269,"V269","fBodyAcc-std()-X","fBodyAccStdX"
270,"V270","fBodyAcc-std()-Y","fBodyAccStdY"
271,"V271","fBodyAcc-std()-Z","fBodyAccStdZ"
294,"V294","fBodyAcc-meanFreq()-X","fBodyAccMeanFreqX"
295,"V295","fBodyAcc-meanFreq()-Y","fBodyAccMeanFreqY"
296,"V296","fBodyAcc-meanFreq()-Z","fBodyAccMeanFreqZ"
345,"V345","fBodyAccJerk-mean()-X","fBodyAccJerkMeanX"
346,"V346","fBodyAccJerk-mean()-Y","fBodyAccJerkMeanY"
347,"V347","fBodyAccJerk-mean()-Z","fBodyAccJerkMeanZ"
348,"V348","fBodyAccJerk-std()-X","fBodyAccJerkStdX"
349,"V349","fBodyAccJerk-std()-Y","fBodyAccJerkStdY"
350,"V350","fBodyAccJerk-std()-Z","fBodyAccJerkStdZ"
373,"V373","fBodyAccJerk-meanFreq()-X","fBodyAccJerkMeanFreqX"
374,"V374","fBodyAccJerk-meanFreq()-Y","fBodyAccJerkMeanFreqY"
375,"V375","fBodyAccJerk-meanFreq()-Z","fBodyAccJerkMeanFreqZ"
424,"V424","fBodyGyro-mean()-X","fBodyGyroMeanX"
425,"V425","fBodyGyro-mean()-Y","fBodyGyroMeanY"
426,"V426","fBodyGyro-mean()-Z","fBodyGyroMeanZ"
427,"V427","fBodyGyro-std()-X","fBodyGyroStdX"
428,"V428","fBodyGyro-std()-Y","fBodyGyroStdY"
429,"V429","fBodyGyro-std()-Z","fBodyGyroStdZ"
452,"V452","fBodyGyro-meanFreq()-X","fBodyGyroMeanFreqX"
453,"V453","fBodyGyro-meanFreq()-Y","fBodyGyroMeanFreqY"
454,"V454","fBodyGyro-meanFreq()-Z","fBodyGyroMeanFreqZ"
503,"V503","fBodyAccMag-mean()","fBodyAccMagMean"
504,"V504","fBodyAccMag-std()","fBodyAccMagStd"
513,"V513","fBodyAccMag-meanFreq()","fBodyAccMagMeanFreq"
516,"V516","fBodyBodyAccJerkMag-mean()","fBodyAccJerkMagMean"
517,"V517","fBodyBodyAccJerkMag-std()","fBodyAccJerkMagStd"
526,"V526","fBodyBodyAccJerkMag-meanFreq()","fBodyAccJerkMagMeanFreq"
529,"V529","fBodyBodyGyroMag-mean()","fBodyGyroMagMean"
530,"V530","fBodyBodyGyroMag-std()","fBodyGyroMagStd"
539,"V539","fBodyBodyGyroMag-meanFreq()","fBodyGyroMagMeanFreq"
542,"V542","fBodyBodyGyroJerkMag-mean()","fBodyGyroJerkMagMean"
543,"V543","fBodyBodyGyroJerkMag-std()","fBodyGyroJerkMagStd"
552,"V552","fBodyBodyGyroJerkMag-meanFreq()","fBodyGyroJerkMagMeanFreq"
